Utility to process github logs
Going to process projects/top_C/openFrameworks/all_log_nomerge_function.txt 
---------- openFrameworks ------------

COMMIT: b6c3cf157ce08ccfb0808fa8e8a9ed40e41e6eb5
COMMIT: 0d9eba604d16e1b81fb52a2e52cf04cf37f3e616
COMMIT: 26a97d112e5758565e08815309e1737b9fff41ae
COMMIT: 3fd61aacd4cee4f7eb65e08b1fab23973537b3db
COMMIT: 507b65e1a5b63515829f2cf08da4224a4ed937d9
COMMIT: 341f3ed4363008fd5ff5dfc93dd361e1bc40f3ff
COMMIT: e636709fc63f554a50a5a05ec2e6ac21dc5cbc02
COMMIT: d1a6d57b50f3f86516cb632d0b388e107e0613b9
COMMIT: d33a9705671d40705feaa9dd60f0289fb9694cee
COMMIT: 690f5535b3b2118d6133b53d8153556f8423a013
COMMIT: 6abc560f0827c34067b7b22a4836e8037a243dc0
COMMIT: f58fbc67e82ab6884598dfcd70945e94233d8ff3
COMMIT: 18eca62679af02b86bddadfa76e15c374f18ce7f
COMMIT: bf7bd586f2c9a9a223dea79046fc50fe57e0c69f
COMMIT: 865af1da626d7c79c8e0d6ac18ae22c2fc4811fd
COMMIT: d5e9d931b58c7e499fc0d663e4fdd8f514df9f8b
COMMIT: f90e36b2583f4ff7262614bf75deac73a173249a
COMMIT: a327eabcb84f98ed6afcd31dee624105c8483250
COMMIT: d1bf073d0ebd55e9cd475b4a7ee2d88b18fb8361
COMMIT: 567ee3fe85b7fa8078e18f543c48da11fdeec86d
COMMIT: 687ed250f45aafdd4163bda70659305eb00c1cd6
COMMIT: 369ed435c1307ca122ae59b08e4df037a014bf47
COMMIT: d0320289835f4d8e079cd6a68da551d9255bc056
COMMIT: ac39926447e24f18636811895eabdb5216cb3446
COMMIT: 251c67736671d602a6475feb36ec183f5fd9f6fd
COMMIT: 0ea9d073da5a2dd171496b000c822fd3bee47559
COMMIT: 94e1b3461f9bae6ed811de6105f6846805a9781c
COMMIT: 45e6994e9b93f6fceaa7f9b316dbfae1a1dba8ba
COMMIT: 7aafd1f89c8301b0145a148e19082e49cea58fb0
COMMIT: 8bda8ae5dd95c66f8a49fccd66a095eb4c25879c
COMMIT: 408969504c4d3d55dc9f05b0d6931f0aa5ab74b7
COMMIT: 867958b4028db53234fbf6a99d8171c188c19a3c
COMMIT: a79968534ac7687945a4b8a8cda765e251808246
COMMIT: 242db3dee7470559233bbeb90b92b420d4d73a79
COMMIT: b9ddda753b23acb2494a7632faf3268cc6a6b192
COMMIT: 265488f132b7f059d0cc66b8488ef2d5020d1741
COMMIT: bac55cb2233686dc8232bca0f3b3e0dae41b9f21
COMMIT: 59517316abdb0c42dc27fb4ba83fc6a51104de74
COMMIT: b1510fd2b509d65cbc985ec6fba8b61d35a57e97
COMMIT: 33af7b30de43b53125b85a004c51d6c1c1a03c04
COMMIT: 262099ab374e9d4a0230d4a54b4c92d902deaa85
COMMIT: b5064e1511bdd55942378ce47b982bf7ccca034f
COMMIT: 7cef55bd016fefdad8620d599ec9f3afd9a2dbf6
COMMIT: 663d3a1977fc28464004d14626efa45cd00961f5
COMMIT: 88797f6d8de22e19bf780f4aa75292c36dc6358f
COMMIT: c8dffe71dd2df302a2f6dcec00b7b6b9359fc04b
COMMIT: 26f8e05d874ee8f4ccca91ee80f5b750948e5098
COMMIT: 57f7670e594758ef36d75cf896da003f6081bd75
COMMIT: 19fc6f2f90e67e4f199ebe9f09aa474908b1a41d
COMMIT: 098b494889577294878a786dee083366609c4bbb
COMMIT: 5cdc8f4a4b0ebe22a2e8200cc269136c438ddaf7
COMMIT: 0d355917bab91effa7c20b8dcdf5068ee91d3dff
COMMIT: 89ae56c44b6d3ef823e38ba301021d3ebafcf0a1
COMMIT: 25ea873570804260aea49a21b07cd0e8ef87a1b9
COMMIT: 45c1ea14b06943b55c27d3e64942fa28ae98a91b
COMMIT: 7184598ce061c811f9180ab343c2e2b8b267e1ee
COMMIT: 91f9a3daae58424539d44957cadcd80e59d4cdde
COMMIT: 1e1286379729ad80df9d8b9fc56d09cf553fed4c
COMMIT: 32058318e0ebfa19b7fe81381ff9349c582e45a6
COMMIT: 7003f1e775e131c6e1839b206ae14604044bc0cd
COMMIT: 82e443c02910992b5468d2e1bf2a186474f15a77
COMMIT: 80c005aabba5fa62b956c86d1b268e549d990de3
COMMIT: 94816fc0b36bb50e8a660ccecb208c1603b5e3d3
