Utility to process github logs
Going to process projects/top_C++/Polycode/all_log_nomerge_function.txt 
---------- Polycode ------------

COMMIT: 9af19e3e13b0b77ac6686ccc8515419e4a795d95
COMMIT: ffec7d2521bbce67a299ed7d2fca05b6c96c314a
COMMIT: 73c9c27a6ce3df37e2fbce46b97ab610f4c96a29
COMMIT: 20165c8eca873125ace8c7762ab1bdf64073af5a
COMMIT: 82afb6e6b08087f45585eb87f48550111667a076
COMMIT: 81e87a90014b9ee04bf4d74211037addc2bf4039
COMMIT: 08228818757e11dfcee00e48f27e59f27004628c
COMMIT: 550319d84a205b8a14540a7dc01568901dcb2143
COMMIT: dc166ec2c57dbe669a7b3fd54ea0d64762e73982
COMMIT: d29c139759191612065d365b6ce212d9ef08c319
COMMIT: 28eda7e3a18a4f637c18a975e8865492f158bd62
COMMIT: 124e0641ba61f4e428e1607398f44f9df96dba4e
COMMIT: 08598b6e91faa9db0b533065fe12b9d42bf95f56
COMMIT: 85b913e6c797618a6c0f8b75d2c92a3e48a99e64
COMMIT: 4bf7ff7347b73f518108390abbb277f057f7c6c4
COMMIT: d3f13be1aff78a65c2e52f6deb16c8b3249c507e
COMMIT: cb4d7c6bc49c7803efb910e73dc3a8d8618b9ce8
COMMIT: cb88f0bfa4bfde8588bd702aea8d8b9fccc8bab8
COMMIT: ddd80c87db42b75f647decfe50e90f89ba7df542
