Utility to process github logs
Going to process projects/top_C++/pdf2htmlEX/all_log_nomerge_function.txt 
---------- pdf2htmlEX ------------

COMMIT: 4fabd5abf0d3fba825de143b44e06ddcdb3ac361
COMMIT: 942b11633de3a475892567160140e6f7c465d198
COMMIT: bd1c9c138fd037623a12711c87f7c5c23ea616da
COMMIT: 72e010acf23ad9e1db17adf5f99ec3b08b3b61d1
COMMIT: 34a53f9d14a6291c5905db331c9fdee1f1186221
COMMIT: 4cf8ffb95b046ab68e6987244b2d8756816da692
COMMIT: f982a6964c75948bb7c8ffc8e893c7674ed223d1
COMMIT: c32cb95c4588e47554d690a0b4ffd5f645f205b5
COMMIT: ff59857ef4f2a2d7fa7cc885a0015bb21c34705e
COMMIT: 81934107e0fa0e55b1e9ef3611546780c1bb09b4
COMMIT: 2d5dc473673e985affd6da4bd3f829648624c362
COMMIT: 80fc92defeb3332b21208887e41d26547b32d1f7
COMMIT: eb0a1ef8a30c149e938caed85d7e8a3515461b2c
COMMIT: 086a72586347d312215218ae7f34b8bb55190dd9
COMMIT: 7a9d98b194a68cb099170d08108c47f9fde7ea6d
COMMIT: 2deef0d6dd92f9797ef07c4ea1a7a815d1ff6319
COMMIT: f4613ceea59cc59d17f75f5904335a8623e9ce83
COMMIT: a22857b8ef43137653b6ceac1ac641508a1ed2e0
COMMIT: 88d5a5b0ca6d3b169d4479d0a2ba21a8b8b11ab9
COMMIT: 6d8b5d518d983f0c3c9bacf617ca0712cb15d54c
COMMIT: bc078cef7801cf38d5dbec59c06bacf0005f4ff3
COMMIT: 1103f74b8a8b727d9c9f7e128654e514708cf56d
COMMIT: 5947b1b9539c422234283f23ef2a1abe32608b6d
COMMIT: 1ba86a37646942214f761896ae72b7714d79aa0d
COMMIT: 628e8897b10a65ad286f5e043e8a14eb25ba0490
COMMIT: 03b0f382c81fe5f65d98d2fe08018021b3d19227
COMMIT: e3e732971b886ba42206f4d0d5d178a7e249d27b
COMMIT: 3bc732ae0fcbc97871d8a042134374ed45a6dbd6
COMMIT: 3789842b47d8d3b8ea42111c6fe56b2438086ba8
COMMIT: bc80a79ac03ddbeab812ab1523f47c5e015facea
COMMIT: a2ed253454ed6c1c598b5c626cf2a452cd8c214c
COMMIT: a712961edeab30ec145169b8d5a33d0f45a9ee15
COMMIT: 88cd306e7925a3a0170ea3609ac58cd67f16fde1
COMMIT: 75c2c8cba16f0e8f3151f54be507c15cee2c060c
COMMIT: 31861e7acbfb976ef986b31a1b227eaf312ae658
COMMIT: 225aa23dcaeef0785203293a8696e60acbad80ab
COMMIT: 820f06d9407c5a3f9ea60490b26bce8ad370d315
COMMIT: 9d88b7be1d7fb418f28c6eb233d40b311cdd3ce6
COMMIT: 8e24776124a22ac15cb6dcc8f1dfc6e0562bbb43
COMMIT: 6c33d431c6ccd12ff0ec6f2ac8b58adc61db3286
COMMIT: 1d1d6cbfc18544bcabad618b1836e8592729c2f4
COMMIT: 6d28bf74c22a7cbac8f56e5069ce23a1aada1fbf
COMMIT: dfa0d29e0ae97a2445d1874307e2253c014db07b
COMMIT: 006dfd3ab6a57d0cd5a91cf5d2d21db949b830c5
COMMIT: 284cbdfbd2c5d5ac075a97da80413340abc37e55
COMMIT: 998821ed294e337e56650567ba0d3015738236ae
COMMIT: fc1fbf2e405a509f154b11830e59a5ca8c66019f
COMMIT: 6c7229f514e7207b9aeb743e39cd17647590ad97
COMMIT: b18f59af6dca120a9be8f1670ea6c831cfa7d491
COMMIT: 82c0e2885307cec1277c6ed296057dc954e2a59c
