Utility to process github logs
Going to process projects/top_C/cocos2d-x/all_log_nomerge_function.txt 
---------- cocos2d-x ------------

COMMIT: 2ddae265bbefb5a722861d9b956ce23932725cbd
COMMIT: c75cb79b108243d9b2502cd6d4f93690bd6beb21
COMMIT: b13ba72b20d6dc3b940f453dae5c6acb0a73efa8
COMMIT: 96affac5679af3e5d39b583a0aa4874a25122386
COMMIT: 2708f068927a8a86e29fe46b96e61474f1ce8a79
COMMIT: cf62d75c38685a3b11d7b18afe57a93d4c2292fc
COMMIT: 881d7e201e0adb3d9142f24865b1d04f5bb16fb1
COMMIT: f12e0c049a2cb80d8c043e25631e574473290f4c
COMMIT: 90e77d9da288cdc028415c6b6f71ddc38b2e7c1a
COMMIT: 5bdd3a72d01423ca864c293b75f841d46f42bb62
COMMIT: 774e6314464d8106b519b3b36bd8e8d8a1d6e4a1
COMMIT: ff5fc7cbb46c9dc7fcbcf68535b64980df337f13
COMMIT: 75ed5493cde5ed85851d2557fd8412861719c2b2
