Utility to process github logs
Going to process projects/top_C++/Torque3D/all_log_nomerge_function.txt 
---------- Torque3D ------------

COMMIT: b173e5571c3be2d435967e93c56570ecbf76c931
COMMIT: 178484ca6ab30fab0361ab813a7fa62fdf303a5f
COMMIT: d02cc94eddbbde7f5accc2345f11d6b29a820eae
COMMIT: b01e5668b42e0d7d0fd9a9c6c92f7e6a47cfc0f1
COMMIT: ff67ac3e80a6f0838044bfe4b9fbfa12923935ed
COMMIT: 100823605360b4f2920de7fec29f5fcfa7b8d597
COMMIT: df37afac34b83c27514da925c89ce1fe89546614
COMMIT: f678a19be84fbf1126f06c36d5fdea3a4930a5d5
COMMIT: 9f47032522224419b7672be59d4ac5879fbebb00
COMMIT: f5fb2fdf763e9b109f2e4a2a8eabdd976b29a622
COMMIT: ef11b565bf17e49be99ac35e31ee54b80148af98
COMMIT: 431d8a9b66dc29e3df91f999b7dcc500004af707
COMMIT: f2a3a1e2a67064e6f4369f6540db51e780c080ba
COMMIT: 94d32b5faea1a9b3d79167dfe8c4317893faab9f
COMMIT: a8a141e73c435d93a23fdd0f0d1aa86aa6f8ca90
COMMIT: cb9cfea1c4aa5ae44664960ef58e7d0880cd591d
COMMIT: db089ab45f1524eccdbf6d7afe77cca1b7218ed6
COMMIT: 439dc9c56da941ae051e3e2a9e8441fb90389303
COMMIT: fd3d44c755570fe0a0214da4bf8bf91f8d9d1409
COMMIT: fcf7bee64af8dd7b07696bd0bcb99db8dc56b451
COMMIT: 8ed0f508ca5f3876502bb65ae24b2d898ae534cf
COMMIT: a93f179138ff4b9977a872a2e58a48d38ffbddae
COMMIT: 1bbc3d9e8a309dfdb996d9a5a37673f93cf5c1a7
COMMIT: d9fc3abaa4c99e7444cb2844bfc709014cc05ac5
COMMIT: 1e3db968ace56856b541850c68f6a7ebf2275307
COMMIT: ea4a8bb3615be431b51cb744adc8505ce6821286
COMMIT: 057f91d373f6def233850005c4cce04bebc8e390
COMMIT: 06b463399b6ac53a9925bdda6891bf7123b787e7
COMMIT: e6ccc26a879c35afb6d0eaf0a5914981fef6837d
COMMIT: 73c51e5d1ae4798c07cf07a9458307b6bb2e9df8
COMMIT: 1e4458660602ddb95308ba7cbcab43952a611caa
COMMIT: 69179cf809cf7764222cb129d8c1bfae05bebe5d
COMMIT: 225ef8a9ff13c192fba81902257bded96aad3594
COMMIT: fbd97b0cf88e9a3a8cd750980248df612df74029
COMMIT: 7df5684af190fc2cb283fd688dfd49f67cb4d508
COMMIT: b34afee97914686ad9a388db7fcc96fefe5f8424
COMMIT: 93325df0c45d11f74a82b51c9d13fc2bf6b27f10
COMMIT: 1829deb4323786c6879826f12026b752409e0026
COMMIT: 9612d3c290b0d0d5f2b224c7a075e8d7541ef5ee
COMMIT: 4c769627c3d9891ea1db5706366df8e506afc1fa
COMMIT: fb408f3f018871265ebcb747c8f036e8606e1f7f
COMMIT: 4110fe51b27c8fa50ef853fdb170d25cc62984cf
COMMIT: c328cb53b1fdbaadf165f84a49dc5070a89f0fc6
COMMIT: eeac48b4ea6124c6327a88c5fa88ea29ac3c68dc
COMMIT: 868b20cfb53105f3b2417a1f0b8ad9c8dc5c84ac
COMMIT: 346ad5bdaad625dca798354f109eb004e7df7b2a
COMMIT: 2987681220c75a8fe1b21ddf5a3f0237a4665c20
COMMIT: 9e404b3707c8787da35e74f5b9427fd2c5ff44d4
COMMIT: e21a0876b6b308df3e280f853a8f8df6f8de034a
COMMIT: 96011623ef8111dceece256171a48d9a316c4a98
COMMIT: 5f42f6307841d1612229846ff2c850cff7cd32bc
COMMIT: e6d47c58f7c883604f9d666494580e7ea0156a73
COMMIT: 77381ac4942c7cee6b80a14515c7b55abb16501d
COMMIT: 981b37e5487a73deddce7070c1e57cb3627a0a9c
COMMIT: 0878f005c05baf50696bf1dbc67fb7bad2b775a4
COMMIT: 5c6d22a05988272b8130313ff002bbd9a635f9f1
COMMIT: ada24b3d8ca32ae9bc26bed4a1ee1c608a592be2
COMMIT: 2f95583df8e55d80ad76c13e6b10996bf418f467
COMMIT: 85a0c1c59f06b4102109bbb6622ae69b0157df9a
COMMIT: 867997f398892a67373bc76dfcfb99b26ccfd7b5
COMMIT: 2c5f643dbe806e494d0e6d12f39b95de518cc2b4
